datetime,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3day_mm,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,cloud_cover_percent,flood
2018-01-01 00:00:00,6.49,16.45,38.8,107.92,30.73,58.49,1013.02,6.46,46.12,0
2018-01-01 01:00:00,9.54,22.96,61.07,151.08,41.59,68.7,1011.94,4.15,70.02,0
2018-01-01 02:00:00,5.49,26.07,71.52,272.21,38.33,81.48,1010.24,4.34,39.22,0
2018-01-01 03:00:00,4.75,53.33,109.22,167.74,31.43,69.63,1015.56,11.14,90.85,0
2018-01-01 04:00:00,10.57,28.23,70.56,124.44,29.41,53.2,1011.59,5.42,35.08,0
2018-01-01 05:00:00,5.17,9.6,29.25,92.83,36.44,52.0,1013.17,1.39,68.59,0
2018-01-01 06:00:00,7.52,20.42,57.92,106.96,36.83,88.92,1008.39,25.01,43.93,1
2018-01-01 07:00:00,6.88,24.73,59.0,153.1,28.92,68.31,1005.15,3.03,68.86,0
2018-01-01 08:00:00,10.57,42.73,54.52,114.02,28.65,76.57,1021.93,7.67,51.4,1
2018-01-01 09:00:00,3.98,33.66,51.54,224.76,23.04,63.72,1015.29,4.57,33.59,0
2018-01-01 10:00:00,13.68,26.2,66.7,101.23,30.05,58.62,1011.9,13.48,25.67,0
2018-01-01 11:00:00,3.02,17.86,73.84,191.77,29.54,57.16,1009.24,4.64,64.7,1
2018-01-01 12:00:00,7.95,24.4,45.77,205.4,33.73,58.16,1014.5,3.51,46.52,0
2018-01-01 13:00:00,7.16,22.04,128.54,162.19,38.28,84.91,1005.96,4.49,94.61,1
2018-01-01 14:00:00,2.73,15.62,17.85,124.44,35.12,44.69,1015.88,13.91,20.38,0
2018-01-01 15:00:00,8.54,47.47,79.61,221.15,34.13,76.12,1017.68,9.09,64.15,0
2018-01-01 16:00:00,4.29,12.21,47.01,69.96,27.08,51.43,1010.96,17.78,53.3,0
2018-01-01 17:00:00,1.81,28.02,91.32,134.59,26.09,67.96,1017.55,2.56,83.99,0
2018-01-01 18:00:00,9.49,32.45,51.62,204.84,32.44,63.25,1009.87,10.23,48.17,0
2018-01-01 19:00:00,1.06,13.57,35.44,188.98,31.52,66.98,1002.85,19.83,11.43,0
2018-01-01 20:00:00,2.24,9.74,31.92,106.81,32.18,57.35,1015.99,8.6,35.32,0
2018-01-01 21:00:00,5.43,19.59,80.79,170.89,22.92,74.33,1009.67,20.23,54.96,0
2018-01-01 22:00:00,10.51,31.71,100.43,215.05,22.89,69.47,1013.62,3.33,78.58,1
2018-01-01 23:00:00,9.0,9.53,34.42,172.99,25.47,64.6,1006.19,20.76,41.2,0
2018-01-02 00:00:00,6.4,11.38,27.22,112.13,32.22,59.2,1009.62,7.03,44.62,0
2018-01-02 01:00:00,0.63,1.73,17.99,156.59,28.27,59.72,1019.09,11.92,19.23,0
2018-01-02 02:00:00,2.87,20.16,30.26,45.99,36.69,61.78,1013.42,9.31,25.87,0
2018-01-02 03:00:00,3.6,20.32,93.9,162.46,22.65,70.41,1017.2,2.14,86.58,1
2018-01-02 04:00:00,1.7,7.23,39.83,152.81,22.73,73.34,1008.47,2.0,25.72,0
2018-01-02 05:00:00,0.38,7.38,66.52,164.43,26.99,72.43,1022.48,0.67,54.48,0
2018-01-02 06:00:00,5.68,21.72,48.67,231.44,25.15,65.0,1022.68,2.68,46.8,0
2018-01-02 07:00:00,9.24,12.38,129.3,172.29,23.67,72.36,1012.25,7.17,59.82,0
2018-01-02 08:00:00,3.31,25.43,78.29,118.73,28.56,92.8,1011.03,18.63,63.58,0
2018-01-02 09:00:00,10.4,21.84,62.74,259.02,28.75,81.22,1012.97,6.11,54.53,0
2018-01-02 10:00:00,0.88,14.33,61.1,86.38,21.15,55.57,1016.08,3.35,54.62,0
2018-01-02 11:00:00,1.58,15.91,30.95,156.82,24.81,66.17,1013.18,20.5,22.92,0
2018-01-02 12:00:00,5.57,10.09,32.6,150.6,32.02,72.9,1010.13,28.41,20.08,0
2018-01-02 13:00:00,3.02,17.42,76.0,132.53,26.57,73.21,1005.21,9.44,41.65,0
2018-01-02 14:00:00,8.61,28.9,62.23,255.01,23.53,65.72,999.97,15.24,71.15,0
